DATE (UTC),Attributes,Values
,Accelerator Pedal Position Sensor B (%),22.8
,Lateral Acceleration (m/s^2),-0.39
,Accelerator Pedal Position Sensor A (%),22.8
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.01
,Steering Angle Sensor (degrees) (Positive indicates right turn),6
52:59.6,Cruise Control Set Speed,79
53:00.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),23.2
53:00.5,Lateral Acceleration (m/s^2),-0.6
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.04
,Accelerator Pedal Position Sensor B (%),22.8
,Vehicle Speed (mph) (Positive is forward direction),56.5
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
,Longitudinal Acceleration (m/s^2),0.5
,Accelerator Pedal Position Sensor A (%),22.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),6.79
53:01.0,Steering Torque Sensor (Nm) (Positive indicates right turn),1.71
,Steering Angle Sensor (degrees) (Positive indicates right turn),5.7
,Lateral Acceleration (m/s^2),-0.64
,Longitudinal Acceleration (m/s^2),0.45
,Accelerator Pedal Position Sensor A (%),22.8
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
,Vehicle Speed (mph) (Positive is forward direction),57.09
,Accelerator Pedal Position Sensor B (%),22.8
53:01.1,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
53:01.1,Odometer (Miles),26692.43
53:01.2,"UI Setting - Cabin Temperature, Right Side",15
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,UI Setting - Suspension Lowering Speed,0
,Usage Statistics - XM Radio usage (minutes),0
,Usage Statistics - AM Radio usage (minutes),0
,UI Setting - Range Mode,0
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Usage Statistics - FM Radio usage (minutes),0
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - On/Off,"ON, 1.0"
,Air Conditioning - Mode,"MANUAL, 1.0"
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
53:01.2,Steering Angle Sensor (degrees) (Positive indicates right turn),4.79
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.63
,Accelerator Pedal Position Sensor B (%),22.8
,Accelerator Pedal Position Sensor A (%),22.8
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
,Lateral Acceleration (m/s^2),-0.25
,Vehicle Speed (mph) (Positive is forward direction),57.3
,Longitudinal Acceleration (m/s^2),0.54
53:01.3,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
53:01.3,Odometer (Miles),26692.43
53:01.4,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Air Conditioning - On/Off,"ON, 1.0"
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Mode,"MANUAL, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
,UI Setting - Suspension Lowering Speed,0
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Usage Statistics - FM Radio usage (minutes),0
,UI Setting - Range Mode,0
,"UI Setting - Cabin Temperature, Right Side",15
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Usage Statistics - XM Radio usage (minutes),0
,Usage Statistics - AM Radio usage (minutes),0
53:01.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22.8
53:01.5,Vehicle Speed (mph) (Positive is forward direction),57.59
,Accelerator Pedal Position Sensor A (%),22.8
,Lateral Acceleration (m/s^2),-0.35
,Accelerator Pedal Position Sensor B (%),22.8
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),5.9
,Longitudinal Acceleration (m/s^2),0.54
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.36
53:02.5,Accelerator Pedal Position Sensor B (%),22.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),6.5
,Steering Torque Sensor (Nm) (Positive indicates right turn),2
,Vehicle Speed (mph) (Positive is forward direction),58.59
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
,Accelerator Pedal Position Sensor A (%),22.8
,Lateral Acceleration (m/s^2),-0.7
,Longitudinal Acceleration (m/s^2),0.54
53:03.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),23.2
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),23.6
53:03.5,Steering Angle Sensor (degrees) (Positive indicates right turn),3.7
,Accelerator Pedal Position Sensor A (%),22.8
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.28
,Lateral Acceleration (m/s^2),-0.29
,Longitudinal Acceleration (m/s^2),0.45
,Accelerator Pedal Position Sensor B (%),22.8
,Vehicle Speed (mph) (Positive is forward direction),59.55
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
53:04.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22.8
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),22.8
53:04.5,Lateral Acceleration (m/s^2),-1.04
,Vehicle Speed (mph) (Positive is forward direction),60.45
,Accelerator Pedal Position Sensor A (%),22.8
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
,Longitudinal Acceleration (m/s^2),0.5
,Accelerator Pedal Position Sensor B (%),22.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),8
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.25
53:05.5,Accelerator Pedal Position Sensor A (%),22.8
,Vehicle Speed (mph) (Positive is forward direction),61.4
,Lateral Acceleration (m/s^2),-0.45
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
,Accelerator Pedal Position Sensor B (%),22.8
,Longitudinal Acceleration (m/s^2),0.5
,Steering Angle Sensor (degrees) (Positive indicates right turn),4.09
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.73
53:06.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),23.2
53:06.5,Vehicle Speed (mph) (Positive is forward direction),62.3
,Lateral Acceleration (m/s^2),-0.35
,Accelerator Pedal Position Sensor B (%),22.8
,Longitudinal Acceleration (m/s^2),0.39
,Steering Angle Sensor (degrees) (Positive indicates right turn),2.59
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.35
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Accelerator Pedal Position Sensor A (%),23.2
53:07.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),24.39
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),24.39
53:07.5,Vehicle Speed (mph) (Positive is forward direction),63.4
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.26
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),1
,Accelerator Pedal Position Sensor B (%),24
,Longitudinal Acceleration (m/s^2),0.6
,Accelerator Pedal Position Sensor A (%),24.39
,Lateral Acceleration (m/s^2),-0.04
53:08.2,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_NOT_DETECTED, 2.0"
53:08.5,Accelerator Pedal Position Sensor A (%),24.39
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.25
,Longitudinal Acceleration (m/s^2),0.54
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.5
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.8
,Vehicle Speed (mph) (Positive is forward direction),64.5
,Accelerator Pedal Position Sensor B (%),24.39
,Lateral Acceleration (m/s^2),0.04
53:09.5,Lateral Acceleration (m/s^2),0.1
,Vehicle Speed (mph) (Positive is forward direction),65.5
,Accelerator Pedal Position Sensor B (%),24.39
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.54
,Accelerator Pedal Position Sensor A (%),24.39
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.09
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.8
,Longitudinal Acceleration (m/s^2),0.5
53:09.8,Auto Lane Change State,"ALC_AVAILABLE_ONLY_L, 6.0"
53:09.8,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_DETECTED, 1.0"
53:10.3,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","UNAVAILABLE, 1.0"
53:10.3,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","AVAILABLE, 2.0"
53:10.5,Lateral Acceleration (m/s^2),0.25
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.85
,Accelerator Pedal Position Sensor B (%),24.39
,Vehicle Speed (mph) (Positive is forward direction),66.55
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.5
,Longitudinal Acceleration (m/s^2),0.54
,Accelerator Pedal Position Sensor A (%),24.39
53:11.5,Longitudinal Acceleration (m/s^2),0.6
,Lateral Acceleration (m/s^2),0.1
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.79
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.8
,Vehicle Speed (mph) (Positive is forward direction),67.55
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.69
,Accelerator Pedal Position Sensor A (%),24.39
,Accelerator Pedal Position Sensor B (%),24.39
53:11.7,Turn Indicator Status,"LEFT, 1.0"
53:11.7,"Direction Indicator, Left","On, 1.0"
53:12.5,Steering Angle Sensor (degrees) (Positive indicates right turn),0.2
,Longitudinal Acceleration (m/s^2),0.6
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.8
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.19
,Vehicle Speed (mph) (Positive is forward direction),68.55
,Accelerator Pedal Position Sensor A (%),24.39
,Lateral Acceleration (m/s^2),-0.04
,Accelerator Pedal Position Sensor B (%),24.39
53:12.6,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_NOT_DETECTED, 2.0"
53:13.0,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_DETECTED, 1.0"
53:13.5,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.79
,Vehicle Speed (mph) (Positive is forward direction),69.59
,Lateral Acceleration (m/s^2),0.25
,Accelerator Pedal Position Sensor B (%),24
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.8
,Accelerator Pedal Position Sensor A (%),24.39
,Steering Torque Sensor (Nm) (Positive indicates right turn),-1.11
,Longitudinal Acceleration (m/s^2),0.5
53:14.5,Accelerator Pedal Position Sensor A (%),24.39
,Longitudinal Acceleration (m/s^2),0.5
,Steering Torque Sensor (Nm) (Positive indicates right turn),-1.1
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.8
,Lateral Acceleration (m/s^2),0.39
,Vehicle Speed (mph) (Positive is forward direction),70.55
,Accelerator Pedal Position Sensor B (%),24.39
,Steering Angle Sensor (degrees) (Positive indicates right turn),-1.29
53:15.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),26.39
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),26.39
53:15.5,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),26.39
,Accelerator Pedal Position Sensor A (%),26
,Vehicle Speed (mph) (Positive is forward direction),71.55
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.2
,Lateral Acceleration (m/s^2),0.04
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.21
,Longitudinal Acceleration (m/s^2),0.7
,Accelerator Pedal Position Sensor B (%),26.39
53:15.7,Auto Lane Change State,"ALC_AVAILABLE_ONLY_R, 7.0"
53:16.3,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_NOT_DETECTED, 2.0"
53:16.5,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.09
,Vehicle Speed (mph) (Positive is forward direction),72.8
,Accelerator Pedal Position Sensor A (%),26
,Accelerator Pedal Position Sensor B (%),26
,Longitudinal Acceleration (m/s^2),0.7
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.02
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),26.39
,Lateral Acceleration (m/s^2),0.14
53:17.1,Auto Lane Change State,"ALC_AVAILABLE_BOTH, 8.0"
53:17.5,Accelerator Pedal Position Sensor A (%),24.39
,Accelerator Pedal Position Sensor B (%),24.39
,Steering Angle Sensor (degrees) (Positive indicates right turn),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.09
,Vehicle Speed (mph) (Positive is forward direction),74.05
,Longitudinal Acceleration (m/s^2),0.54
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.8
,Lateral Acceleration (m/s^2),0.1
53:18.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),25.2
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),25.2
53:18.5,Vehicle Speed (mph) (Positive is forward direction),74.84
,Longitudinal Acceleration (m/s^2),0.39
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),0
,Lateral Acceleration (m/s^2),0.14
,Accelerator Pedal Position Sensor B (%),24
,Accelerator Pedal Position Sensor A (%),24.39
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.07
53:19.3,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),24.39
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),24.39
53:19.5,Lateral Acceleration (m/s^2),0.1
,Accelerator Pedal Position Sensor B (%),22
,Longitudinal Acceleration (m/s^2),0.35
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.15
,Vehicle Speed (mph) (Positive is forward direction),75.55
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.09
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),22.8
,Accelerator Pedal Position Sensor A (%),22.39
53:20.2,Auto Lane Change State,"ALC_AVAILABLE_ONLY_R, 7.0"
53:20.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22.8
53:20.3,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),22.8
53:20.5,Accelerator Pedal Position Sensor B (%),22
,Accelerator Pedal Position Sensor A (%),22.39
,Longitudinal Acceleration (m/s^2),0.29
,Lateral Acceleration (m/s^2),0.04
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.59
,Vehicle Speed (mph) (Positive is forward direction),75.95
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),22.8
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.76
53:20.9,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_DETECTED, 1.0"
53:21.3,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),22.39
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22.39
53:21.5,Accelerator Pedal Position Sensor A (%),22.39
,Vehicle Speed (mph) (Positive is forward direction),76.45
,Accelerator Pedal Position Sensor B (%),22.39
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),22.8
,Longitudinal Acceleration (m/s^2),0.29
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.79
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.82
,Lateral Acceleration (m/s^2),-0.14
53:21.6,Turn Indicator Status,"IDLE, 0.0"
53:21.9,"Direction Indicator, Left","Off, 0.0"
53:22.3,Cruise Control State,"CRS_STATE_ENABLED, 2.0"
53:22.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22.8
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),22.8
53:22.5,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","ACTIVE_NAV, 5.0"
53:22.5,Accelerator Pedal Position Sensor B (%),14.4
,Vehicle Speed (mph) (Positive is forward direction),76.9
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.14
,Lateral Acceleration (m/s^2),-0.04
,Longitudinal Acceleration (m/s^2),0.14
,Steering Angle Sensor (degrees) (Positive indicates right turn),1
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),15.19
,Accelerator Pedal Position Sensor A (%),14.8
53:23.3,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),22
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22
53:23.5,Steering Torque Sensor (Nm) (Positive indicates right turn),0.17
,Steering Angle Sensor (degrees) (Positive indicates right turn),1.59
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Longitudinal Acceleration (m/s^2),0.04
,Accelerator Pedal Position Sensor B (%),0
,Accelerator Pedal Position Sensor A (%),0
,Vehicle Speed (mph) (Positive is forward direction),77
,Lateral Acceleration (m/s^2),-0.2
53:23.8,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_NOT_DETECTED, 2.0"
53:24.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),0
53:24.3,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),0
53:24.5,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Longitudinal Acceleration (m/s^2),0.25
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.5
,Lateral Acceleration (m/s^2),-0.1
,Vehicle Speed (mph) (Positive is forward direction),77.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.21
,Accelerator Pedal Position Sensor B (%),0
,Accelerator Pedal Position Sensor A (%),0
53:25.5,Lateral Acceleration (m/s^2),0.14
,Vehicle Speed (mph) (Positive is forward direction),77.3
,Accelerator Pedal Position Sensor A (%),0
,Longitudinal Acceleration (m/s^2),0.1
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.5
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.03
,Accelerator Pedal Position Sensor B (%),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
53:26.5,Lateral Acceleration (m/s^2),0
,Longitudinal Acceleration (m/s^2),0.04
,Accelerator Pedal Position Sensor B (%),0
,Accelerator Pedal Position Sensor A (%),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.09
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Vehicle Speed (mph) (Positive is forward direction),77.4
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.01
53:27.5,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Accelerator Pedal Position Sensor A (%),0
,Lateral Acceleration (m/s^2),0
,Vehicle Speed (mph) (Positive is forward direction),77.4
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.29
,Longitudinal Acceleration (m/s^2),0
,Accelerator Pedal Position Sensor B (%),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.09
53:28.5,Steering Angle Sensor (degrees) (Positive indicates right turn),0.2
,Accelerator Pedal Position Sensor B (%),0
,Accelerator Pedal Position Sensor A (%),0
,Longitudinal Acceleration (m/s^2),-0.04
,Vehicle Speed (mph) (Positive is forward direction),77.45
,Lateral Acceleration (m/s^2),-0.04
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.1
53:29.6,Vehicle Speed (mph) (Positive is forward direction),77.45
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.59
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.25
,Lateral Acceleration (m/s^2),-0.04
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Longitudinal Acceleration (m/s^2),0.1
,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position Sensor B (%),0
53:29.6,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
53:30.5,Lateral Acceleration (m/s^2),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.09
,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position Sensor B (%),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.18
,Vehicle Speed (mph) (Positive is forward direction),77.5
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Longitudinal Acceleration (m/s^2),0.04
53:31.5,Steering Torque Sensor (Nm) (Positive indicates right turn),0.36
,Lateral Acceleration (m/s^2),0.1
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Accelerator Pedal Position Sensor B (%),0
,Accelerator Pedal Position Sensor A (%),0
,Vehicle Speed (mph) (Positive is forward direction),77.55
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.59
,Longitudinal Acceleration (m/s^2),0.1
53:32.5,Longitudinal Acceleration (m/s^2),0.1
,Accelerator Pedal Position Sensor A (%),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.2
,Accelerator Pedal Position Sensor B (%),0
,Vehicle Speed (mph) (Positive is forward direction),77.7
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.21
,Lateral Acceleration (m/s^2),0
53:33.5,Longitudinal Acceleration (m/s^2),0.04
,Accelerator Pedal Position Sensor B (%),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.14
,Lateral Acceleration (m/s^2),-0.04
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.7
,Accelerator Pedal Position Sensor A (%),0
,Vehicle Speed (mph) (Positive is forward direction),77.75
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
53:34.5,Steering Angle Sensor (degrees) (Positive indicates right turn),0.5
,Longitudinal Acceleration (m/s^2),0.1
,Accelerator Pedal Position Sensor A (%),0
,Vehicle Speed (mph) (Positive is forward direction),77.75
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.23
,Lateral Acceleration (m/s^2),0
,Accelerator Pedal Position Sensor B (%),0
53:35.5,Steering Angle Sensor (degrees) (Positive indicates right turn),0.59
,Lateral Acceleration (m/s^2),-0.1
,Vehicle Speed (mph) (Positive is forward direction),78
,Accelerator Pedal Position Sensor A (%),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.15
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Accelerator Pedal Position Sensor B (%),0
,Longitudinal Acceleration (m/s^2),0.04
53:36.5,Longitudinal Acceleration (m/s^2),0.04
,Vehicle Speed (mph) (Positive is forward direction),78.09
,Accelerator Pedal Position Sensor A (%),0
,Lateral Acceleration (m/s^2),0.39
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.11
,Steering Angle Sensor (degrees) (Positive indicates right turn),-1.09
,Accelerator Pedal Position Sensor B (%),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
53:37.5,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.12
,Longitudinal Acceleration (m/s^2),0.04
,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position Sensor B (%),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Vehicle Speed (mph) (Positive is forward direction),78.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),0
,Lateral Acceleration (m/s^2),-0.04
53:38.5,Longitudinal Acceleration (m/s^2),0
,Accelerator Pedal Position Sensor A (%),0
,Vehicle Speed (mph) (Positive is forward direction),78.25
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.4
,Lateral Acceleration (m/s^2),0.1
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.11
,Accelerator Pedal Position Sensor B (%),0
53:39.5,Vehicle Speed (mph) (Positive is forward direction),78.25
,Accelerator Pedal Position Sensor B (%),0
,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Longitudinal Acceleration (m/s^2),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.25
,Lateral Acceleration (m/s^2),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.2
53:40.5,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.05
,Vehicle Speed (mph) (Positive is forward direction),78.2
,Lateral Acceleration (m/s^2),0.04
,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Longitudinal Acceleration (m/s^2),-0.04
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.79
,Accelerator Pedal Position Sensor B (%),0
53:41.5,Steering Angle Sensor (degrees) (Positive indicates right turn),1.7
,Vehicle Speed (mph) (Positive is forward direction),78.15
,Lateral Acceleration (m/s^2),-0.2
,Accelerator Pedal Position Sensor A (%),0
,Longitudinal Acceleration (m/s^2),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Accelerator Pedal Position Sensor B (%),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.06
53:42.5,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),1.4
,Vehicle Speed (mph) (Positive is forward direction),78.25
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.31
,Accelerator Pedal Position Sensor B (%),0
,Longitudinal Acceleration (m/s^2),0.04
,Accelerator Pedal Position Sensor A (%),0
,Lateral Acceleration (m/s^2),-0.2
53:43.5,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position Sensor B (%),0
,Longitudinal Acceleration (m/s^2),0
,Vehicle Speed (mph) (Positive is forward direction),78.3
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.5
,Lateral Acceleration (m/s^2),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.3
53:44.5,Vehicle Speed (mph) (Positive is forward direction),78.2
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Accelerator Pedal Position Sensor A (%),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.04
,Longitudinal Acceleration (m/s^2),0
,Lateral Acceleration (m/s^2),0.14
,Accelerator Pedal Position Sensor B (%),0
53:45.5,Vehicle Speed (mph) (Positive is forward direction),78.25
,Lateral Acceleration (m/s^2),0.14
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.29
,Accelerator Pedal Position Sensor B (%),0
,Longitudinal Acceleration (m/s^2),0.04
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.15
,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
53:46.5,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position Sensor B (%),0
,Vehicle Speed (mph) (Positive is forward direction),78.25
,Longitudinal Acceleration (m/s^2),0.04
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.03
,Steering Angle Sensor (degrees) (Positive indicates right turn),1.09
,Lateral Acceleration (m/s^2),-0.14
53:46.8,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_VISUAL, 3.0"
53:47.5,Steering Angle Sensor (degrees) (Positive indicates right turn),0.79
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Longitudinal Acceleration (m/s^2),0.04
,Lateral Acceleration (m/s^2),-0.04
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.26
,Vehicle Speed (mph) (Positive is forward direction),78.25
,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position Sensor B (%),0
